prompt_id,prompt_text,category,complexity
590,Mountain goats atop rocky slopes,animals,medium
591,Mountain brook with small plunge,nature,medium
592,Mouse clicking rapidly in the course of gaming,technology,low
593,Movie theater audience reactions,social,high
594,Moving box including dishes rattling inside,everyday,medium
595,Multiple signal clocks jingling,everyday,medium
596,Museum with hushed voices coupled with footsteps,social,medium
597,Music box engaging soft lullaby,vintage,low
598,Musical saw being played hauntingly,eerie,medium
599,Nail gun firing into wood repeatedly,tools,medium
600,Native American drumming ceremony,cultural,medium
601,Nature documentary narrator voice,media,medium
602,Neon sign resonating in rainy night,urban,low
603,Night club including DJ and dancing congregation,social,high
604,Night insects amidst summer garden,nature,medium
605,Night emporium featuring food vendors,social,high
606,Night sounds of desert with coyotes,nature,medium
607,Night transit vehicle passing along countryside,transportation,medium
608,Nightingale singing among moonlit garden,nature,medium
609,Nighttime metropolis ambience including isolated sirens,urban,medium
610,Nighttime forest with cricket chorus,nature,medium
611,Nighttime jungle accompanied by exotic creatures,nature,high
612,Nighttime ocean swells on waterfront,nature,medium
613,Nighttime electrical storm approaching,weather,high
614,Noisy food venue kitchen while service,workplace,high
615,Nostalgic ice cream truck melody,nostalgic,medium
616,Ocean liner horn blasting,nautical,medium
617,Deep surf impacting over rocky coast,nature,high
618,Aquatic realm breakers gently lapping sandy shore,nature,medium
619,Office cubicle featuring typing as well as phones,workplace,medium
620,Headquarters paper shredder racing,workplace,low
621,Office printer scanning documents,workplace,low
622,Work environment workers discussing project,workplace,medium
623,Antique boat creaking during dock,nautical,medium
624,Vintage transport propellant struggling to start,transportation,medium
625,Archaic cash register plus mechanical keys,vintage,medium
626,Archaic fashioned popcorn apparatus popping,vintage,medium
627,Old fashioned typewriter together with bell,vintage,medium
628,Vintage grandfather horologe sounding,vintage,low
629,Ancient manual camera shutter clicking,vintage,low
630,Old movie film projector racing,vintage,medium
631,Antique music box playing melody,vintage,low
632,Ancient phonograph playing scratchy record,vintage,medium
633,Old pocket watch sounding mechanism,vintage,low
634,Aged radio tuning between stations,vintage,medium
635,Old school bell ringing,nostalgic,medium
636,Old steam locomotive chugging,transportation,high
637,Timeworn telephone rotary dial spinning,vintage,low
638,Vintage western saloon together with piano running,historical,medium
639,Old windmill moaning in breeze,rural,medium
640,Ancient wooden boat squeaking atop water,nautical,medium
641,Ancient wooden wooden floors straining,ambient,low
642,Olympic swimming competition comprising gathering,sports,high
643,Opening champagne bottle featuring pop,celebration,low
644,Orchestra conductor tapping baton,music,low
645,Orchestra tuning in front of performance,music,high
646,Organ running amidst cathedral,spiritual,medium
647,Outdoor cafe with street musicians,social,medium
648,Outdoor concert accompanied by applause,social,high
649,Outdoor festival alongside multiple sounds,social,high
650,Outdoor mall with vendors calling,social,high
651,Outdoor wedding ceremony featuring vows,celebration,medium
652,Overflowing bathtub alongside water splashing,everyday,medium
653,Owl hooting throughout dark arboretum,nature,low
654,Paddling canoe amid still water,adventure,low
655,Pages turning inside large book,ambient,low
656,Paintball game including markers firing,sports,medium
657,Paper being crumpled toward ball,everyday,low
658,Paper being torn slowly,everyday,low
659,Paper money being counted by hand,everyday,low
660,Paper shredder destroying documents,workplace,low
661,Parachute opening in the midst of skydive,adventure,medium
662,Party balloons popping,celebration,medium
663,Passing cars on wet road following cloudburst,transportation,medium
664,Passing public transport locomotive underground,transportation,high
665,Peaceful meadow together with subtle breeze,nature,low
666,Pen writing atop paper throughout subdued room,ambient,low
667,Pencil scratching upon paper,everyday,low
668,Pendulum timepiece swinging rhythmically,vintage,low
669,Person wind during meditation,spiritual,low
670,Person drinking amidst straw,everyday,low
671,Person humming while cooking,human,low
672,Person laughing heartily,human,low
673,Person snoring loudly,human,low
674,Person typing over laptop input mechanism,technology,low
675,Person pacing through resonant snow,weather,low
676,Person whistling happy tune,human,low
677,Piano being tuned including key hits,music,medium
678,Piano playing soft melody,music,medium
679,Pickup truck driving over gravel road,transportation,medium
680,Picnic in park including faraway children,social,medium
681,Pigeons cooing throughout cityscape square,urban,low
682,Pinball contrivance accompanied by bells alongside flippers,entertainment,medium
683,Pine arboretum amid subtle breeze,nature,medium
684,Ping pong ball bouncing across table,sports,low
685,Pirate ship battle together with cannons,historical,high
686,Pizza restaurant comprising brick oven,social,medium
687,Plane taking off from airport runway,transportation,high
688,Play zone accompanied by children performing,social,medium
689,Plucking guitar strings one by one,music,low
690,Pneumatic drill against construction site,industrial,high
691,Police vehicle siren approaching,emergency,medium
692,Pool balls colliding amid game,sports,medium
693,Popcorn popping within microwave,cooking,low
694,Popping bubble wrap slowly,everyday,low
695,Pouring cereal moving to empty bowl,everyday,low
696,Pouring champagne moving to glass,celebration,low
697,Pouring coffee toward ceramic mug,everyday,low
698,Pouring cloudburst amid thunderstorm,weather,high
699,Pouring shower above metal rooftop,weather,medium
700,Prayer bells ringing inside temple,spiritual,medium
701,Pressure cooker releasing steam,cooking,medium
702,Professional kitchen in the midst of service,workplace,high
703,Public pool alongside swimmers also echoes,sports,high
704,Public speaking alongside microphone feedback,social,medium
705,Pulling cork from wine bottle,everyday,low
706,Puppies engaging and barking,animals,medium
707,Purring cat covering windowsill,animals,low
708,Barely audible bar with jazz playing softly,social,medium
709,Quiet beach while sunrise together with gulls,nature,medium
710,Muted bookstore together with periodic page turns,ambient,low
711,Hushed coffee shop comprising light music,social,medium
712,Subdued country church service,spiritual,medium
713,Silent forest following fresh snowfall,nature,low
714,Subdued hospital corridor amid night,medical,medium
715,Quiet library accompanied by intermittent whispers,social,low
716,Subdued night with cricket sounds,nature,low
717,Still headquarters with keyboard typing,workplace,medium
718,Faint park alongside secluded children working,social,medium
719,Faint suburban boulevard in the course of night,urban,low
720,Race cars throughout starting line revving,sports,high
721,Racing heart thump gradually slowing,medical,low
722,Radio being tuned between stations,technology,low
723,Radio playing throughout distant room,ambient,low
724,Radio static accompanied by irregular voices,communication,medium
725,Rain beginning to fall on hushed lane,weather,medium
726,Rain falling on autumn leaves,weather,medium
727,Rain falling covering car windshield,weather,medium
728,Rainfall falling atop metal roof,weather,medium
729,Rain falling against tent while camping,weather,medium
730,Rainfall woodland featuring exotic bird calls,nature,high
731,Precipitation gently falling atop umbrella,weather,low
732,Cloudburst increasing from drizzle to downpour,weather,medium
733,Rainfall on windowpane in the course of night,weather,medium
734,Railroad crossing signal with train,transportation,high
735,Railway station with transit vehicle announcements,transportation,high
736,Rapids in wilderness river,nature,high
737,Recording studio featuring sound checks,music,medium
738,Refrigerator whirring amid still kitchen,everyday,low
739,Remote cabin featuring zephyr and wildlife,nature,medium
740,Restaurant kitchen amid dinner rush,workplace,high
741,Restless maritime domain during approaching storm,weather,high
742,Riding horse throughout shallow creek,animals,medium
743,Riding lawn mower cutting grass,everyday,medium
744,Riding motorcycle on empty highway,transportation,medium
745,Rifle firing at shooting range,sports,medium
746,Flow rapids through rocky gorge,nature,high
747,Robot servo motors moving precisely,sci-fi,medium
748,Rock concert with cheering throng,music,high
749,Rock slide down mountain slope,nature,high
750,Rocket launch countdown as well as ignition,sci-fi,high
751,Rocking chair grating across porch,nostalgic,low
752,Roller coaster accompanied by screaming riders,entertainment,high
753,Roller skating rink together with music,sports,medium
754,Rolling thunder behind lightning,weather,medium
755,Rolling boom approaching storm,weather,medium
756,Rollercoaster climbing chain lift,entertainment,medium
757,Roosters crowing throughout dawn upon farm,rural,medium
758,Rope swing over lake plus splash,adventure,medium
759,Rotary communicator dialing coupled with bonging,vintage,low
760,Rowing boat with oars in water,nautical,low
761,Royal fanfare with trumpets,historical,medium
762,Rugby match with referee whistle,sports,high
763,Running dishwasher cycle,everyday,medium
764,Jogging on treadmill at gym,sports,medium
765,Jogging water inside bathroom sink,everyday,low
766,Rushing mountain run accompanied by ornithes,nature,medium
767,Murmuring paper gift wrapping,celebration,low
768,Rusty gate swinging inside wind,ambient,low
769,Sailboat with draft in sails,nautical,medium
770,Sand pouring amidst hourglass,ambient,low
771,Sand timer with grains falling,ambient,low
772,Sandpaper sanding wood surface,crafts,low
773,Saxophonist playing among subway tunnel,music,medium
774,School bell chiming between classes,everyday,medium
775,School cafeteria throughout lunch hour,social,high
776,School classroom with teacher lesson,social,medium
777,School play space for the duration of recess,social,high
778,Scissors cutting amid paper,everyday,low
779,Scrabble tiles being shuffled,entertainment,low
780,Scratching record above turntable,music,low
781,Scuba diving with respiration apparatus,adventure,medium
782,Sea gulls calling over harbor,nautical,medium
783,Seagulls fighting over food,animals,medium
784,Search and rescue chopper,emergency,high
785,Seashell comprising ocean sounds,nature,low
786,Seaside boardwalk accompanied by carnival,entertainment,high
787,Serene spa featuring water features,ambient,medium
788,Sewing equipment running steadily,crafts,low
789,Shaking dice during cup before roll,entertainment,low
790,Shaking maracas rhythmically,music,low
791,Shamanic drumming ceremony,spiritual,medium
792,Sharpening knife against whetstone,everyday,low
793,Sharpening pencil featuring manual sharpener,everyday,low
794,Sheep bleating among field,rural,medium
795,Ship creaking in rough seas,nautical,medium
796,Ship foghorn throughout harbor mist,nautical,medium
797,Ship's bell ringing on deck,nautical,medium
798,Shopping cart rolling across parking lot,everyday,low
799,Shopping mall amid holiday season,social,high
800,Short circuit comprising electrical sparks,effects,medium
801,Shower jogging in bathroom,everyday,medium
802,Shuffling deck of functioning cards,entertainment,low
803,Shutting conveyance door firmly,transportation,low
804,Silent forest with sporadic twig snap,nature,low
805,Silent library alongside timekeeping device pulsing,ambient,low
806,Silent movie theater including piano accompaniment,vintage,medium
807,Silent night forest comprising owl hoots,nature,medium
808,Silent snowfall during city park,weather,low
809,Singing bowl resonating,spiritual,low
810,Single cricket tweeting while night,nature,low
811,Sizzling fajitas on hot plate,cooking,medium
812,Skateboard rolling above pavement,sports,low
813,Ski lift machinery operating,sports,medium
814,Skiing down fresh powder slope,sports,medium
815,Skydiver falling through air,adventure,medium
816,Skywriting airplane overhead,transportation,medium
817,Sleepy cat purring by fireplace,animals,medium
818,Sleigh bells jingling against horse-drawn sleigh,holiday,medium
819,Sliding glass door opening also closing,everyday,low
820,Slot gadget spinning and paying out,entertainment,medium
821,Slow marking time grandfather chronometer,vintage,low
822,Leisurely water drip amid still cave,nature,low
823,Small airplane propeller starting,transportation,medium
824,Small boat motor puttering,nautical,medium
825,Small creek with water over rubble,nature,medium
826,Small fountain in garden,ambient,low
827,Small run babbling over crags,nature,medium
828,Small town parade accompanied by marching band,cultural,high
829,Small surf lapping in the course of lake shore,nature,medium
830,Smartphone notification sounds,technology,low
831,Smoke detector battery warning beep,everyday,low
832,Snapping twigs while strolling during forest,nature,low
833,Sneakers squeaking atop basketball court,sports,medium
834,Snoring person in deep sleep,human,low
835,Snow blower clearing driveway,weather,medium
836,Snow falling from shelter in large chunk,weather,medium
837,Snow plow clearing street at night,urban,medium
838,Snow shovel scraping sidewalk,weather,low
839,Soccer ball being kicked amid game,sports,medium
840,Soccer match featuring referee whistle,sports,high
841,Soda fizzing within glass together with ice,everyday,low
842,Soft air current via autumn leaves,nature,low
843,Sonar pings throughout submarine,transportation,medium
844,Sorting coins into metal container,everyday,low
845,Space shuttle launch sequence,sci-fi,high
846,Spaceship motor room ambience,sci-fi,medium
847,Sparkling wine cork popping,celebration,low
848,Sparks from welder's torch,industrial,medium
849,Speaking across walkie talkie featuring static,communication,medium
850,Splashing inside puddles including boots,weather,low
851,Splashing water during bathtub,everyday,medium
852,Splitting firewood including axe,rural,medium
853,Sports arena alongside cheering congregation,sports,high
854,Sports conveyance driving force revving,transportation,medium
855,Spring peeper frogs chorus,nature,medium
856,Squeaky door hinge opening slowly,ambient,low
857,Squeaky floorboard amidst antique house,ambient,low
858,Squeaky toy being repeatedly pressed,everyday,low
859,Squirrels chattering amid trees,animals,low
860,Stadium horde doing the wave,sports,high
861,Stadium throng singing team song,sports,high
862,Stage curtain rising including mechanical sound,entertainment,medium
863,Stampeding cattle herd,animals,high
864,Starting automobile motor upon cold morning,transportation,medium
865,Starting lawn mower driving force,everyday,medium
866,Steam engine transit vehicle departing station,transportation,high
867,Steam escaping pressure cooker valve,cooking,medium
868,Steam hissing from old radiator,vintage,medium
869,Steam locomotive chugging along tracks,transportation,high
870,Steam rising from hot springs,nature,medium
871,Steam train whistle inside distance,transportation,medium
872,Steaming kettle beginning to whistle,everyday,medium
873,Steel drums working Caribbean music,music,medium
874,Steel factory including molten metal pouring,industrial,high
875,Stethoscope hearing steady cardiac rhythm,medical,low
876,Stock trading place trading floor shouting,workplace,high
877,Stone skipping across calm lake,nature,low
878,Storm featuring powerful rain coupled with thunder,weather,high
879,Storyteller by fire pit accompanied by sparking,social,medium
880,Street busker playing accordion,music,medium
881,Thoroughfare cafe with far-off conversations,social,medium
882,Avenue construction featuring jackhammer,urban,high
883,Route market comprising vendors calling,social,high
884,Boulevard musician operating violin,music,medium
885,Road performer tap dancing,entertainment,medium
886,Avenue protest accompanied by chanting mass,social,high
887,Route sweeper cleaning early morning roads,urban,medium
888,String quartet frolicking classical music,music,medium
889,Public transport announcement over speakers,transportation,medium
890,Subway station featuring approaching train,transportation,high
891,Metro express passing across station,transportation,high
892,Summer afternoon deluge approaching,weather,medium
893,Summer carnival comprising rides alongside games,entertainment,high
894,Summer insects murmuring in field,nature,medium
895,Summer night with crickets alongside frogs,nature,medium
896,Summer rainstorm with distant thunder,weather,medium
897,Sunday church bells across town,spiritual,medium
898,Sunset beach plus tranquil whitecaps,nature,medium
899,Supermarket checkout accompanied by scanner beeps,everyday,medium
900,Swimming underwater with bubbles,sports,medium
901,Swimming pool with children running,social,medium
902,Swing squeaking in play space,nostalgic,low
903,Swinging door during western saloon,historical,low
904,Symphony orchestra working classical piece,music,high
905,Table tennis match including ball hits,sports,medium
906,Taking photographs with film camera,vintage,low
907,Tap dancer atop wooden stage,entertainment,medium
908,Tap water sprinting into sink,everyday,low
909,Tape measure extending and retracting,tools,low
910,Tea kettle starting to whistle,everyday,low
911,Tea party comprising cups clinking,social,medium
912,Tearing open package or envelope,everyday,low
913,Tearing wrapping paper excitedly,celebration,low
914,Telephone tolling during empty headquarters,ambient,low
915,Television static noise,technology,low
916,Tennis ball machine firing balls,sports,medium
917,Tennis match comprising grunts and ball hits,sports,medium
918,Theremin playing eerie melody,electronic,medium
919,Beating analog timer among silent room,ambient,low
920,Tocking bomb during suspense scene,action,medium
921,Tidal billows smashing on rocky shore,nature,high
922,Tiger growling during jungle,animals,medium
923,Timber being cut at sawmill,industrial,high
924,Time timepiece punching for work shift,workplace,low
925,Tinkling draft chimes on porch,ambient,low
926,Tiny music box operating lullaby,vintage,low
927,Tires screeching in the midst of emergency stop,transportation,medium
928,Toaster popping up toast,everyday,low
929,Toilet flushing amid quiet bathroom,everyday,low
930,Toll booth comprising cars stopping,transportation,medium
931,Tools being dropped en route to metal toolbox,everyday,medium
932,Railway crossing railroad tracks,transportation,high
933,Train horn throughout distance at night,transportation,medium
934,Transit vehicle passing through rural crossing,transportation,high
935,Railway station announcement over speakers,transportation,medium
936,Train whistle echoing amid valley,transportation,medium
937,Tram bell tolling inside metropolitan area boulevard,transportation,medium
938,Transmission radio static together with voice,communication,medium
939,Tree branches scraping window inside wind,eerie,medium
940,Tree falling during forest including crash,nature,high
941,Tree frogs chorus later than rain,nature,medium
942,Tribal drum circle performance,cultural,medium
943,Tropical bird calls in jungle,nature,medium
944,Tropical rainstorm over palm leaf cover,weather,medium
945,Truck backing up together with warning beep,transportation,medium
946,Trumpet frolicking reveille during dawn,military,medium
947,Tumbling clothes in dryer,everyday,medium
948,Turning pages of newspaper,everyday,low
949,TV game show together with multitude reactions,entertainment,medium
950,Typewriter plus end-of-line bell,vintage,medium
951,Typing across digital system keyboard,technology,low
952,Typing across ancient mechanical typewriter,vintage,medium
953,Underwater bubbles from scuba gear,adventure,medium
954,Underwater sounds comprising whale song,nature,medium
955,University lecture hall before class,social,medium
956,Urban avenue corner comprising automobiles,urban,high
957,Vacuum cleaner running covering carpet,everyday,medium
958,Velcro fastener being pulled apart,everyday,low
959,Venetian gondolier singing against canal,cultural,medium
960,Video arcade featuring game sounds,entertainment,high
961,Video game victory fanfare,entertainment,medium
962,Village blacksmith hammering metal,historical,medium
963,Village church bells against Sunday,spiritual,medium
964,Vinyl record being placed over turntable,vintage,low
965,Vinyl record crackling in advance of music,vintage,low
966,Violin being tuned in front of concert,music,low
967,Violin string breaking throughout play,music,low
968,Virtual reality game alongside spatial audio,technology,high
969,Volcano rumbling prior to eruption,nature,high
970,Wading amidst shallow stream,nature,low
971,Strolling across wooden bridge,adventure,low
972,Ambulating amidst intense snow accompanied by crunching steps,weather,low
973,Strolling over autumn leaf cover,nature,low
974,Stepping over unstable wooden floor,ambient,low
975,Marching on gravel path within garden,ambient,low
976,Treading throughout corn field comprising rustling stalks,rural,medium
977,Walking by way of strong downpour accompanied by umbrella,weather,medium
978,Stepping through shallow creek,nature,low
979,Strolling through tall grass meadow,nature,low
980,Stepping up unstable wooden staircase,ambient,low
981,Warehouse with forklift operations,industrial,medium
982,Washing dishes amidst kitchen sink,everyday,low
983,Washing apparatus cycle running,everyday,medium
984,Water boiling within pot with lid rattling,cooking,low
985,Water bubbling in fish tank,ambient,low
986,Water dripping inside cave with echoes,nature,medium
987,Water dripping bound for bucket slowly,ambient,low
988,Water droplets falling on hot surface,effects,low
989,Water fountain inside quiet garden,ambient,medium
990,Water lapping against dock pilings,nautical,medium
991,Water pouring from pitcher into glass,everyday,low
992,Water sprinkler against summer lawn,everyday,low
993,Water drop during lush jungle setting,nature,high
994,Waves smashing in the midst of coastal storm,weather,high
995,Wedding ceremony comprising organ music,celebration,medium
996,Whales breaching ocean surface,animals,medium
997,Whispering in empty cathedral,eerie,medium
998,Wind chimes for the duration of tranquil breeze,ambient,low
999,Zephyr howling throughout mountain pass,weather,medium
1000,Wind amid autumn leaves within park,nature,medium
